Flat1,0,0,261,131,130.5,65.5
Flat2,261,0,261,131,130.5,65.5
Flat3,522,0,261,131,130.5,65.5
Flat4,783,0,261,131,130.5,65.5
CoastSW1,0,0,261,131,130.5,65.5
CoastSW2,261,0,261,131,130.5,65.5
CoastSW3,522,0,261,131,130.5,65.5
CoastSW4,783,0,261,131,130.5,65.5
CoastSE1,0,131,261,131,130.5,65.5
CoastSE2,261,131,261,131,130.5,65.5
CoastSE3,522,131,261,131,130.5,65.5
CoastSE4,783,131,261,131,130.5,65.5
CoastNE1,0,262,261,131,130.5,65.5
CoastNE2,261,262,261,131,130.5,65.5
CoastNE3,522,262,261,131,130.5,65.5
CoastNE4,783,262,261,131,130.5,65.5
CoastNW1,0,393,261,131,130.5,65.5
CoastNW2,261,393,261,131,130.5,65.5
CoastNW3,522,393,261,131,130.5,65.5
CoastNW4,783,393,261,131,130.5,65.5
CoastN1,0,524,261,131,130.5,65.5
CoastN2,261,524,261,131,130.5,65.5
CoastN3,522,524,261,131,130.5,65.5
CoastN4,783,524,261,131,130.5,65.5
CoastN5,0,655,261,131,130.5,65.5
CoastN6,261,655,261,131,130.5,65.5
CoastN7,522,655,261,131,130.5,65.5
CoastN8,783,655,261,131,130.5,65.5
CoastE1,0,786,261,131,130.5,65.5
CoastE2,261,786,261,131,130.5,65.5
CoastE3,522,786,261,131,130.5,65.5
CoastE4,783,786,261,131,130.5,65.5
CoastE5,0,917,261,131,130.5,65.5
CoastE6,261,917,261,131,130.5,65.5
CoastE7,522,917,261,131,130.5,65.5
CoastE8,783,917,261,131,130.5,65.5
CoastS1,0,1048,261,131,130.5,65.5
CoastS2,261,1048,261,131,130.5,65.5
CoastS3,522,1048,261,131,130.5,65.5
CoastS4,783,1048,261,131,130.5,65.5
CoastS5,0,1179,261,131,130.5,65.5
CoastS6,261,1179,261,131,130.5,65.5
CoastS7,522,1179,261,131,130.5,65.5
CoastS8,783,1179,261,131,130.5,65.5
CoastW1,0,1310,261,131,130.5,65.5
CoastW2,261,1310,261,131,130.5,65.5
CoastW3,522,1310,261,131,130.5,65.5
CoastW4,783,1310,261,131,130.5,65.5
CoastW5,0,1441,261,131,130.5,65.5
CoastW6,261,1441,261,131,130.5,65.5
CoastW7,522,1441,261,131,130.5,65.5
CoastW8,783,1441,261,131,130.5,65.5
ChannelEW,0,1572,261,131,130.5,65.5
ChannelNS,261,1572,261,131,130.5,65.5
